Scan3_021.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_022.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_023.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_024.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_025.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_026.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_027.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_028.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_029.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_030.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_031.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_032.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_033.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_034.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_035.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_036.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_037.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_038.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_039.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_040.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_041.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_042.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_043.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_044.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_045.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_046.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_047.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_048.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_049.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_050.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_051.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_052.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_053.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_054.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_055.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_056.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_057.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_058.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_059.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_060.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
